"time","order","weather"
"Mon, 18 Apr 2016 12:00 PM EDT","97","Mostly Cloudy"
"Mon, 18 Apr 2016 02:00 AM EDT","31","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","32","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","33","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","34","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","35","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","36","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","37","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","2","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","3","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","4","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","5","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","6","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","7","Clear"
"Mon, 18 Apr 2016 09:00 AM EDT","74","Partly Cloudy"
"Mon, 18 Apr 2016 09:00 AM EDT","75","Partly Cloudy"
"Mon, 18 Apr 2016 09:00 AM EDT","76","Partly Cloudy"
"Mon, 18 Apr 2016 09:00 AM EDT","77","Partly Cloudy"
"Mon, 18 Apr 2016 09:00 AM EDT","78","Partly Cloudy"
"Mon, 18 Apr 2016 09:00 AM EDT","79","Partly Cloudy"
"Sun, 17 Apr 2016 04:00 PM EDT","1","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","2","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","3","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","4","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","5","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","6","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","7","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","8","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","9","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","10","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","11","Mostly Sunny"
"Sun, 17 Apr 2016 04:00 PM EDT","12","Mostly Sunny"
"Mon, 18 Apr 2016 01:00 PM EDT","98","Mostly Cloudy"
"Mon, 18 Apr 2016 01:00 PM EDT","99","Mostly Cloudy"
"Mon, 18 Apr 2016 01:00 PM EDT","100","Mostly Cloudy"
"Mon, 18 Apr 2016 01:00 PM EDT","101","Mostly Cloudy"
"Mon, 18 Apr 2016 01:00 PM EDT","102","Mostly Cloudy"
"Mon, 18 Apr 2016 01:00 PM EDT","103","Mostly Cloudy"
"Sun, 17 Apr 2016 08:00 PM EDT","1","Clear"
