time	surge	company	start	end
12.0	1.0	WSJ	18	28
13.0	1.0	WSJ	18	28
14.0	1.0039436619718307	WSJ	18	28
15.0	1.0509859154929579	WSJ	18	28
16.0	1.157022471910111	WSJ	18	28
17.0	1.2006426735218512	WSJ	18	28
18.0	1.2031120331950178	WSJ	18	28
19.0	1.138912133891212	WSJ	18	28
20.0	1.0	WSJ	18	28
21.0	1.0278688524590163	WSJ	18	28
22.0	1.2297927461139895	WSJ	18	28
23.0	1.2458233890214803	WSJ	18	28
24.0	1.0297520661157022	WSJ	18	28
